restaurant_name,restaurant_location,restaurant_rating,restaurant_price_range,restaurant_latitude,restaurant_longitude,restaurant_location_link,restaurant_logo-src,restaurant_menu
หนึ่งสำรับ อาหารไทยฟิวชัน (หนึ่งสำรับ อาหารไทยฟิิวชัน),"45, หมู่ 5 ซอยดิ นครา คลองสาม คลองหลวง ปทุมธานี ปทุมธานี (ร้านติดกับฟิตเนส The Jym)",,฿฿,14.04996933,100.6643723,"https://www.google.com/maps/search/?api=1&query=14.049969332670367,100.66437230489605",https://img.wongnai.com/p/128x128/2025/01/27/4b708fad524947b1a11869dcf6cfe96b.jpg,
Pizza Hut (พิซซ่าฮัท),ห้อง A114 ศูนย์การค้าเดอะ ซีน ทาวน์ อิน ทาวน์ เลขที่ 1323 ซอยลาดพร้าว94 (ปัญจมิตร) พลับพลา วังทองหลาง กรุงเทพมหานคร,,฿,13.77314179,100.610252,"https://www.google.com/maps/search/?api=1&query=13.773141793500404,100.6102520371451",https://img.wongnai.com/p/128x128/2023/12/12/ba3c2e3382864687a8193aab758adab4.jpg,
เอ็นเค คาเฟ่ (NK cafe’),"3788, ถนน สุขุมวิท บางนา บางนา กรุงเทพมหานคร กรุงเทพมหานคร",4,฿฿฿฿,13.660815,100.601335,"https://www.google.com/maps/search/?api=1&query=13.660815,100.601335",https://img.wongnai.com/p/128x128/2024/04/05/52103084c06741ffac3a8e04f4c8092d.jpg,
Peak Chocolate Passionist,3766 ถ. พระรามที่ 3 แขวง บางโคล่ เขตบางคอแหลม กรุงเทพมหานคร 10120 ประเทศไทย กรุงเทพมหานคร,3.9,฿฿,13.6895582,100.5055475,"https://www.google.com/maps/search/?api=1&query=13.6895582,100.5055475",https://img.wongnai.com/p/128x128/2022/10/23/3666fd34345f42879e8db71be812e08c.jpg,
MAXKOFF,"111, ถนน แจ้งวัฒนะ ทุ่งสองห้อง หลักสี่ กรุงเทพมหานคร กรุงเทพมหานคร (มุมA มีช้างหน้าตึก)",5,฿฿,13.88250403,100.5714877,"https://www.google.com/maps/search/?api=1&query=13.882504030103814,100.57148770566758",https://img.wongnai.com/p/128x128/2024/02/22/7442c7a3fceb4672bc11710e3a42e784.jpg,
Five Star (ห้าดาว),"7-eleven บ่อเงิน จุดที่ 2, คูขวาง ลาดหลุมแก้ว ปทุมธานี ปทุมธานี (7-eleven บ่อเงิน จุดที่ 2)",5,฿฿,14.0686622,100.4418258,"https://www.google.com/maps/search/?api=1&query=14.068662202461852,100.44182580382675",https://img.wongnai.com/p/128x128/2023/02/19/11e2b1110f64459f82c11c7e05b5f617.jpg,
KFC (เคเอฟซี),"100/6, หนองแขม หนองแขม กรุงเทพมหานคร กรุงเทพมหานคร",4.4,฿฿,13.6858,100.382396,"https://www.google.com/maps/search/?api=1&query=13.6858,100.382396",https://img.wongnai.com/p/128x128/2023/06/08/24a82989ab474dfea735ec9f313e0546.jpg,
H CAFE & TEA (H CAFE & TEA),90 อาคารฟิฟตี้ฟิฟท์ ทองหล่อ ชั้น 1 ซอยทองหล่อ 2 สุขุมวิท 55 กรุงเทพมหานคร,4.7,฿฿,13.72604886,100.5804824,"https://www.google.com/maps/search/?api=1&query=13.726048864953,100.58048236453",https://img.wongnai.com/p/128x128/2023/04/10/a2898c7d06f84403be587720ca808ef8.jpg,
Pizza Hut (พิซซ่าฮัท),"79, หมู่ที่ 5 บึงคำพร้อย ลำลูกกา ปทุมธานี ปทุมธานี (อยู่ในปั้ม ปตท.จิฟฟี่ลำลูกกาคลองหก)",,฿฿฿฿฿,13.934091,100.740479,"https://www.google.com/maps/search/?api=1&query=13.934091,100.740479",https://img.wongnai.com/p/128x128/2023/12/12/945ba7ec61494250a0cf5cd30032dd94.jpg,
Pizza Hut (พิซซ่าฮัท),"1314/5-6, suconthawit ท่าไม้ กระทุ่มแบน สมุทรสาคร สมุทรสาคร (pizzahut krathumbaen)",5,฿฿฿,13.653195,100.264049,"https://www.google.com/maps/search/?api=1&query=13.653195,100.264049",https://img.wongnai.com/p/128x128/2023/12/12/5b8058eed4da480f97db193265225182.jpg,
