ingredients,allergies
แซลมอนทอด,ปลา
รากบัวทอด,แป้งสาลี
เบบี้บรอกโคลี,ถั่วเหลือง
ซอสฮ่องกง,ไข่
สมุนไพร,ปลา
ทูน่า,ปลา
ซอสต้มยำ,ถั่วเหลือง
ขนมปังบริยอช,"แป้งสาลี,นม,ไข่"
แฮมเบิร์ก,ถั่วเหลือง
แป้งแรพ,แป้งสาลี
ซอสโบโลเนสเห็ด,ถั่วเหลือง
ปลาแซลมอน,ปลา
แซลมอนย่าง,ปลา
ซอสเพสโต้,ถั่วเปลือกแข็ง
ปลาซีบรีม,ปลา
แซลมอนรมควัน,ปลา
ผักย่าง,ถั่วเหลือง
หมูผัดซอส,ถั่วเหลือง
เนื้อผัดซอส,ถั่วเหลือง
ซอสสเต๊ก,ถั่วเหลือง
ปลาดอรี่,ปลา
ปลากระพงทอด,ปลา
ปลากระพงย่าง,ปลา
ปลาชิมาฮอกเกะ,ปลา
ซอสโชยุขิง,ถั่วเหลือง
ครีมซอสเห็ด,นม
ซอสเกรวี่ไก่,ถั่วเหลือง
ซอสเกรวีเนื้อ,ถั่วเหลือง
ปลาพอลล็อค,ปลา
ปลาพอลล็อคย่าง,ปลา
ซอสพิริพิริ,ถั่วเหลือง
เส้นพาสต้า,แป้งสาลี
หอยลาย,หอย
น้ำซอส,ถั่วเหลือง
ซอสเห็ดทรัฟเฟิล,ถั่วเหลือง
ซอสพริกเผา,ถั่วเหลือง
ครีมซอส,นม
ไข่แดง,ไข่
ครีมซอสญี่ปุ่น,"นม,ถั่วเหลือง"
กะเพราทะเล,"กุ้ง,ปลา,หอย,ปู"
น้ำพริกปลาร้า,ปลา
ปลาทอด,ปลา
ซอสราดพริก,ถั่วเหลือง
ซอสแซ่บ,ถั่วเหลือง
ปูนิ่มทอด,ปู
เครื่องลาบ,ถั่วเหลือง
ปลาแซลมอนซาซิมิ,ปลา
ริซ็อตโต้ดอกกะหล่ำ,นม
ซอสเฮิร์บบัตเตอร์,นม
ซอสเกรวีเห็ด,นม
ซอสเกรวีมัสตาร์ด,ถั่วเหลือง
พาร์มีซานชีส,นม
ไวท์ซอส,นม
แซลมอนสติ๊ก,ปลา
ปลาแซลมอนคิริมิ,ปลา
หมูกรอบแพลนท์เบส,ถั่วเหลือง
หมูกรอบแพลนท์เบส,ถั่วเหลือง
เต้าหู้ปลาแพลนต์เบส,"ถั่วเหลือง,ปลา"
คาโบนารา,"ถั่วเหลือง,ปลา"
หมูกรอบแพลนต์เบส,"นม,ไข่,แป้งสาลี"
น้ำซุปต้มยำ,ถั่วเหลือง
ทรัฟเฟิล,ถั่วเหลือง
ปอเปี๊ยะสด,แป้งสาลี
คาโบนาราวีแกน,"นม,ถั่วเหลือง"
เนยถั่ว,ถั่วลิสง
ซอสปรุงรส,ถั่วเหลือง
พริกเผา,ถั่วเหลือง
น้ำมันหอย,"ถั่วเหลือง,หอย"
หมู/ไก่/กุ้ง,กุ้ง
หมูแฮม,ถั่วเหลือง
มักกะโรนี,แป้งสาลี
เส้นใหญ่,แป้งสาลี
ซีอิ๊วดำ,ถั่วเหลือง
ปลาเค็ม,ปลา
น้ำราดข้น,ถั่วเหลือง
ซอสแกงกะหรี่,ถั่วเหลือง
แป้งฟอคาเซีย,แป้งสาลี
มอซซาเรลล่าชีส,นม
แอนโชวี่,ปลา
หอมใหญ่ตุ๋น,นม
ร็อกเก็ต,นม
กอร์กอนโซล่า,นม
ชีสแพะ,นม
ชีสมิกซ์,นม
เส้นสปาเกตตี,แป้งสาลี
ซอสทูน่า,ปลา
อาหารทะเล,"กุ้ง,ปลา,หอย,ปู"
มอซซาเรลล่าชีส,นม
ไส้กรอกย่าง,ถั่วเหลือง
ซีซาร์เดรสซิ่ง,"ไข่,นม,ถั่วเหลือง"
